Stethoscope	ECG
-0.078125	0.652466
-0.101318	0.734558
-0.131836	0.784912
-0.153198	0.795898
-0.159607	0.769958
-0.158691	0.713806
-0.145569	0.629578
-0.0985718	0.517273
-0.00305176	0.384216
0.123291	0.242004
0.241699	0.103149
0.315247	-0.0201416
0.316162	-0.122986
0.248108	-0.205078
0.223389	-0.262756
0.202332	-0.289307
0.0543213	-0.288086
-0.160522	-0.267029
-0.284119	-0.237427
-0.294189	-0.205078
-0.339966	-0.170898
-0.442505	-0.137329
-0.428467	-0.107117
-0.143127	-0.0802612
0.33905	-0.0564575
0.772095	-0.0378418
0.959167	-0.0247192
0.882263	-0.0134277
0.618286	-0.00152588
0.213013	0.00793457
-0.290527	0.0125122
-0.717773	0.0128174
-0.892944	0.00762939
-0.809937	-0.00152588
-0.585938	-0.0140381
-0.33844	-0.0289917
-0.133972	-0.0421143
0.00610352	-0.0524902
0.101318	-0.0588989
0.197754	-0.0604248
0.322266	-0.0595093
0.432129	-0.0582886
0.45105	-0.0543213
0.338135	-0.0473022
0.0897217	-0.0363159
-0.231018	-0.0216675
-0.520325	-0.00579834
-0.683899	0.00610352
-0.682983	0.0115967
-0.51239	0.0119019
-0.189819	0.00976563
0.216064	0.00915527
0.583191	0.00793457
0.797729	0.000610352
0.812988	-0.0137329
0.648193	-0.0271606
0.372314	-0.0366211
0.0784302	-0.0439453
-0.151672	-0.0491333
-0.299377	-0.0524902
-0.38147	-0.0512695
-0.386047	-0.0439453
-0.306396	-0.0317383
-0.127563	-0.0186157
0.0872803	-0.00732422
0.231018	0.00183105
0.234985	0.010376
0.134583	0.017395
0.0363159	0.0189209
-0.0320435	0.0125122
-0.071106	0.00305176
-0.0924683	-0.00335693
-0.100098	-0.00488281
-0.10376	-0.00335693
-0.100708	-0.00366211
-0.0772095	-0.00762939
-0.0402832	-0.00976563
-0.022583	-0.00457764
-0.0299072	0.00427246
-0.0332642	0.00854492
-0.00518799	0.00579834
0.0488281	0.00152588
0.0534058	-0.0012207
0.0152588	-0.00457764
0.0152588	-0.0088501
0.138245	-0.0131226
0.158997	-0.0167847
-0.0775146	-0.0186157
-0.334473	-0.0177002
-0.342407	-0.0140381
-0.083313	-0.00732422
0.154724	0.0012207
0.237732	0.0106812
0.202942	0.0204468
0.14801	0.0274658
0.0595093	0.0305176
-0.0698853	0.0302124
-0.15686	0.0292969
-0.150146	0.0292969
-0.0610352	0.0292969
0.0418091	0.0292969
0.0927734	0.0308228
0.083313	0.0363159
0.0497437	0.0466919
0.0247192	0.0616455
0.000915527	0.0814819
-0.0369263	0.10376
-0.072937	0.122681
-0.071106	0.136108
-0.0180054	0.146179
0.0616455	0.154724
0.126648	0.159607
0.144653	0.158997
0.110474	0.155334
0.0466919	0.149841
-0.0222778	0.144348
-0.067749	0.142517
-0.0744629	0.14679
-0.0531006	0.154419
-0.0335693	0.161438
-0.038147	0.166626
-0.0537109	0.172424
-0.0521851	0.181274
-0.0259399	0.191956
0.0149536	0.201416
0.0543213	0.20813
0.0949097	0.205994
0.152283	0.191956
0.159912	0.169983
0.03479	0.153198
-0.108032	0.145874
-0.128784	0.143433
-0.128174	0.141602
-0.159607	0.13855
-0.176392	0.132446
-0.160522	0.127258
-0.12085	0.123596
-0.055542	0.121155
0.0305176	0.118713
0.0982666	0.115051
0.109253	0.109253
0.0787354	0.100403
0.0436401	0.0888062
0.0317383	0.0741577
0.0439453	0.0619507
0.0793457	0.0588989
0.106812	0.0634766
0.101929	0.0683594
0.0534058	0.0686646
-0.0140381	0.0653076
-0.0601196	0.0598145
-0.0646973	0.0524902
-0.0387573	0.0439453
-0.00305176	0.0338745
0.0305176	0.022583
0.0650024	0.00854492
0.088501	-0.00488281
0.0808716	-0.0143433
0.0445557	-0.0189209
0	-0.0198364
-0.0393677	-0.0195313
-0.0598145	-0.0204468
-0.0543213	-0.0195313
-0.0204468	-0.0128174
0.0180054	-0.00427246
0.0244141	0.000610352
-0.00549316	0.000610352
-0.0448608	-0.00183105
