L I	L III	L II(Calc.)
-0.0708008	0.0134277	-0.057373
-0.0750732	0.0143433	-0.06073
-0.0750732	0.00976563	-0.0653076
-0.0769043	0.00640869	-0.0704956
-0.0778198	0.00244141	-0.0753784
-0.0793457	0.000915527	-0.0784302
-0.0839233	0.00366211	-0.0802612
-0.0842285	0.00335693	-0.0808716
-0.0762939	-0.00244141	-0.0787354
-0.0650024	-0.010376	-0.0753784
-0.0558472	-0.0158691	-0.0717163
-0.0512695	-0.0183105	-0.0695801
-0.0476074	-0.0189209	-0.0665283
-0.0424194	-0.0195313	-0.0619507
-0.0354004	-0.020752	-0.0561523
-0.0289917	-0.0231934	-0.0521851
-0.0247192	-0.0253296	-0.0500488
-0.0231934	-0.0259399	-0.0491333
-0.0234985	-0.0244141	-0.0479126
-0.0259399	-0.0213623	-0.0473022
-0.0292969	-0.0180054	-0.0473022
-0.0335693	-0.0146484	-0.0482178
-0.0405884	-0.00915527	-0.0497437
-0.0500488	-0.00244141	-0.0524902
-0.0595093	0.00427246	-0.0552368
-0.065918	0.00701904	-0.0588989
-0.0689697	0.00640869	-0.062561
-0.071106	0.00518799	-0.065918
-0.0723267	0.00549316	-0.0668335
-0.0717163	0.00579834	-0.065918
-0.0680542	0.00396729	-0.0640869
-0.0637817	0.0012207	-0.062561
-0.0610352	-0.00183105	-0.0628662
-0.0567627	-0.00671387	-0.0634766
-0.0479126	-0.0134277	-0.0613403
-0.0390625	-0.0180054	-0.0570679
-0.0387573	-0.0161743	-0.0549316
-0.0421143	-0.0128174	-0.0549316
-0.0430298	-0.0112915	-0.0543213
-0.0424194	-0.010376	-0.0527954
-0.0411987	-0.0106812	-0.0518799
-0.0390625	-0.012207	-0.0512695
-0.0387573	-0.0109863	-0.0497437
-0.0424194	-0.00579834	-0.0482178
-0.0476074	-0.000610352	-0.0482178
-0.0512695	0.00335693	-0.0479126
-0.0521851	0.00579834	-0.0463867
-0.0543213	0.00793457	-0.0463867
-0.0561523	0.0112915	-0.0448608
-0.0579834	0.0164795	-0.0415039
-0.0604248	0.0228882	-0.0375366
-0.0613403	0.0289917	-0.0323486
-0.06073	0.0332642	-0.0274658
-0.0601196	0.0366211	-0.0234985
-0.0588989	0.0405884	-0.0183105
-0.0546265	0.0424194	-0.012207
-0.0454712	0.0393677	-0.00610352
-0.0350952	0.0323486	-0.00274658
-0.0320435	0.0283813	-0.00366211
-0.0363159	0.0283813	-0.00793457
-0.0402832	0.027771	-0.0125122
-0.0369263	0.0219727	-0.0149536
-0.0286865	0.0140381	-0.0146484
-0.0250244	0.012207	-0.0128174
-0.0247192	0.0125122	-0.012207
-0.0219727	0.0106812	-0.0112915
-0.0180054	0.0088501	-0.00915527
-0.0152588	0.00915527	-0.00610352
-0.0115967	0.00946045	-0.00213623
-0.00854492	0.00915527	0.000610352
-0.0088501	0.010376	0.00152588
-0.00976563	0.0106812	0.000915527
-0.00915527	0.00793457	-0.0012207
-0.0088501	0.00427246	-0.00457764
-0.0100708	0.000610352	-0.00946045
-0.0140381	-0.00183105	-0.0158691
-0.0222778	-0.000915527	-0.0231934
-0.0296021	0.000610352	-0.0289917
-0.0308228	-0.0012207	-0.0320435
-0.0286865	-0.00640869	-0.0350952
-0.0274658	-0.0109863	-0.0384521
-0.0283813	-0.0134277	-0.0418091
-0.0302124	-0.0143433	-0.0445557
-0.032959	-0.0143433	-0.0473022
-0.0354004	-0.0146484	-0.0500488
-0.038147	-0.0167847	-0.0549316
-0.0393677	-0.0222778	-0.0616455
-0.038147	-0.0274658	-0.0656128
-0.0372314	-0.0299072	-0.0671387
-0.0415039	-0.0299072	-0.0714111
-0.0485229	-0.0280762	-0.0765991
-0.0567627	-0.0253296	-0.0820923
-0.0656128	-0.0222778	-0.0878906
-0.0726318	-0.0189209	-0.0915527
-0.0762939	-0.0149536	-0.0912476
-0.0790405	-0.0109863	-0.0900269
-0.0820923	-0.0088501	-0.0909424
-0.0817871	-0.0109863	-0.0927734
-0.0787354	-0.0152588	-0.0939941
-0.0759888	-0.0180054	-0.0939941
-0.0714111	-0.0201416	-0.0915527
-0.0701904	-0.0198364	-0.0900269
-0.0704956	-0.0186157	-0.0891113
-0.067749	-0.0170898	-0.0848389
-0.0622559	-0.0161743	-0.0784302
-0.0561523	-0.0177002	-0.0738525
-0.0512695	-0.0189209	-0.0701904
-0.0479126	-0.0183105	-0.0662231
-0.0454712	-0.0177002	-0.0631714
-0.0430298	-0.0183105	-0.0613403
-0.0408936	-0.020752	-0.0616455
-0.039978	-0.0238037	-0.0637817
-0.0393677	-0.0265503	-0.065918
-0.0405884	-0.0280762	-0.0686646
-0.0463867	-0.0271606	-0.0735474
-0.0561523	-0.0244141	-0.0805664
-0.0650024	-0.0201416	-0.085144
