L I	L III	L II(Calc.)
-0.0393677	-0.0222778	-0.0616455
-0.0454712	-0.0143433	-0.0598145
-0.0534058	-0.00427246	-0.0576782
-0.06073	0.00488281	-0.0558472
-0.0640869	0.010376	-0.0537109
-0.0628662	0.010376	-0.0524902
-0.0576782	0.00671387	-0.0509644
-0.0500488	0	-0.0500488
-0.0418091	-0.00732422	-0.0491333
-0.0363159	-0.012207	-0.0485229
-0.0332642	-0.0146484	-0.0479126
-0.0323486	-0.0146484	-0.0469971
-0.0332642	-0.0131226	-0.0463867
-0.0360107	-0.0100708	-0.0460815
-0.0387573	-0.00793457	-0.0466919
-0.0418091	-0.00640869	-0.0482178
-0.0424194	-0.00457764	-0.0469971
-0.0421143	-0.00152588	-0.0436401
-0.0424194	0.00244141	-0.039978
-0.0430298	0.00518799	-0.0378418
-0.0408936	0.00518799	-0.0357056
-0.0369263	0.00366211	-0.0332642
-0.0320435	0.000305176	-0.0317383
-0.0238037	-0.00549316	-0.0292969
-0.0152588	-0.0112915	-0.0265503
-0.0109863	-0.0146484	-0.0256348
-0.010376	-0.015564	-0.0259399
-0.010376	-0.0167847	-0.0271606
-0.00854492	-0.0213623	-0.0299072
-0.00671387	-0.0262451	-0.032959
-0.00854492	-0.027771	-0.0363159
-0.0137329	-0.0250244	-0.0387573
-0.0180054	-0.0219727	-0.039978
-0.0216675	-0.0192261	-0.0408936
-0.0247192	-0.0170898	-0.0418091
-0.0271606	-0.0152588	-0.0424194
-0.0289917	-0.0134277	-0.0424194
-0.0292969	-0.0119019	-0.0411987
-0.0280762	-0.0119019	-0.039978
-0.0271606	-0.0125122	-0.0396729
-0.0271606	-0.012207	-0.0393677
-0.0265503	-0.0109863	-0.0375366
-0.0234985	-0.012207	-0.0357056
-0.0186157	-0.0158691	-0.0344849
-0.0140381	-0.0204468	-0.0344849
-0.0125122	-0.0234985	-0.0360107
-0.0140381	-0.0247192	-0.0387573
-0.0158691	-0.0250244	-0.0408936
-0.015564	-0.0268555	-0.0424194
-0.0134277	-0.0302124	-0.0436401
-0.0112915	-0.0335693	-0.0448608
-0.0109863	-0.0354004	-0.0463867
-0.0125122	-0.0338745	-0.0463867
-0.0146484	-0.0308228	-0.0454712
-0.015564	-0.0292969	-0.0448608
-0.015564	-0.0292969	-0.0448608
-0.0161743	-0.0286865	-0.0448608
-0.0161743	-0.0280762	-0.0442505
-0.0134277	-0.0302124	-0.0436401
-0.00976563	-0.0344849	-0.0442505
-0.00854492	-0.038147	-0.0466919
-0.00732422	-0.0427246	-0.0500488
-0.00366211	-0.0494385	-0.0531006
0	-0.0552368	-0.0552368
0.00152588	-0.0585938	-0.0570679
-0.000305176	-0.0592041	-0.0595093
-0.00610352	-0.0561523	-0.0622559
-0.0146484	-0.0500488	-0.0646973
-0.0204468	-0.043335	-0.0637817
-0.0247192	-0.0366211	-0.0613403
-0.0296021	-0.0305176	-0.0601196
-0.03479	-0.0259399	-0.06073
-0.0393677	-0.0234985	-0.0628662
-0.0436401	-0.0219727	-0.0656128
-0.0460815	-0.020752	-0.0668335
-0.0445557	-0.0204468	-0.0650024
-0.0424194	-0.020752	-0.0631714
-0.0396729	-0.0231934	-0.0628662
-0.0366211	-0.0271606	-0.0637817
-0.0344849	-0.0296021	-0.0640869
-0.0323486	-0.0317383	-0.0640869
-0.0296021	-0.0335693	-0.0631714
-0.0265503	-0.0360107	-0.062561
-0.0238037	-0.0390625	-0.0628662
-0.0213623	-0.0427246	-0.0640869
-0.0198364	-0.0466919	-0.0665283
-0.0204468	-0.0494385	-0.0698853
-0.0216675	-0.0515747	-0.0732422
-0.0222778	-0.0546265	-0.0769043
-0.0222778	-0.057373	-0.0796509
-0.0238037	-0.0588989	-0.0827026
-0.0250244	-0.0595093	-0.0845337
-0.0231934	-0.0601196	-0.083313
-0.0241089	-0.0570679	-0.0811768
-0.0271606	-0.0527954	-0.0799561
-0.0296021	-0.0500488	-0.0796509
-0.0314331	-0.0473022	-0.0787354
-0.0360107	-0.0421143	-0.078125
-0.0402832	-0.0384521	-0.0787354
-0.0418091	-0.0372314	-0.0790405
-0.0411987	-0.0375366	-0.0787354
-0.0405884	-0.038147	-0.0787354
-0.0402832	-0.039978	-0.0802612
-0.0390625	-0.0424194	-0.0814819
-0.038147	-0.0448608	-0.0830078
-0.0375366	-0.0469971	-0.0845337
-0.0357056	-0.0491333	-0.0848389
-0.0317383	-0.0518799	-0.0836182
-0.027771	-0.0552368	-0.0830078
-0.0256348	-0.0576782	-0.083313
-0.027771	-0.0567627	-0.0845337
-0.0360107	-0.0500488	-0.0860596
-0.0454712	-0.0421143	-0.0875854
-0.050354	-0.0369263	-0.0872803
-0.0527954	-0.0335693	-0.0863647
-0.0558472	-0.0296021	-0.0854492
-0.0579834	-0.0265503	-0.0845337
-0.0576782	-0.0259399	-0.0836182
-0.0576782	-0.0262451	-0.0839233
-0.0585938	-0.0256348	-0.0842285
-0.0576782	-0.0259399	-0.0836182
-0.0543213	-0.0283813	-0.0827026
-0.0491333	-0.032959	-0.0820923
-0.0424194	-0.0396729	-0.0820923
-0.0372314	-0.045166	-0.0823975
-0.0326538	-0.0491333	-0.0817871
-0.0296021	-0.0518799	-0.0814819
-0.0286865	-0.0534058	-0.0820923
-0.0286865	-0.0531006	-0.0817871
-0.0296021	-0.0506592	-0.0802612
-0.0289917	-0.0457764	-0.0747681
-0.0268555	-0.0396729	-0.0665283
-0.0256348	-0.0338745	-0.0595093
-0.0247192	-0.0274658	-0.0521851
-0.0244141	-0.0219727	-0.0463867
-0.0238037	-0.0177002	-0.0415039
-0.0222778	-0.0140381	-0.0363159
-0.0195313	-0.0119019	-0.0314331
-0.0164795	-0.0115967	-0.0280762
-0.0152588	-0.0115967	-0.0268555
-0.0146484	-0.0128174	-0.0274658
-0.0149536	-0.0143433	-0.0292969
-0.0201416	-0.012207	-0.0323486
-0.0280762	-0.00823975	-0.0363159
-0.0305176	-0.00701904	-0.0375366
-0.0308228	-0.00518799	-0.0360107
-0.0317383	-0.000915527	-0.0326538
-0.0320435	0.00274658	-0.0292969
-0.0311279	0.00488281	-0.0262451
-0.0268555	0.00396729	-0.0228882
-0.0195313	-0.000610352	-0.0201416
-0.0109863	-0.00610352	-0.0170898
-0.00305176	-0.0115967	-0.0146484
0.00335693	-0.0161743	-0.0128174
0.00762939	-0.0198364	-0.012207
0.0100708	-0.0228882	-0.0128174
0.0100708	-0.0253296	-0.0152588
0.00823975	-0.0250244	-0.0167847
0.00610352	-0.0234985	-0.017395
0.00396729	-0.0216675	-0.0177002
0.0012207	-0.0192261	-0.0180054
-0.00640869	-0.012207	-0.0186157
-0.0161743	-0.00366211	-0.0198364
-0.0219727	-0.000305176	-0.0222778
-0.0231934	-0.00244141	-0.0256348
-0.020752	-0.00762939	-0.0283813
-0.0180054	-0.0140381	-0.0320435
-0.017395	-0.0210571	-0.0384521
-0.0198364	-0.0274658	-0.0473022
-0.0256348	-0.0314331	-0.0570679
-0.0326538	-0.0357056	-0.0683594
-0.0372314	-0.0402832	-0.0775146
-0.0405884	-0.0442505	-0.0848389
-0.0424194	-0.0488281	-0.0912476
-0.0424194	-0.0540161	-0.0964355
-0.0411987	-0.057373	-0.0985718
-0.0408936	-0.0585938	-0.0994873
-0.0411987	-0.0585938	-0.0997925
-0.0411987	-0.0585938	-0.0997925
-0.0405884	-0.0579834	-0.0985718
-0.0387573	-0.0585938	-0.0973511
-0.0344849	-0.0619507	-0.0964355
-0.0305176	-0.0665283	-0.0970459
-0.0335693	-0.0653076	-0.098877
-0.0430298	-0.0592041	-0.102234
-0.0488281	-0.0564575	-0.105286
-0.050354	-0.0576782	-0.108032
-0.0512695	-0.0592041	-0.110474
-0.0521851	-0.0601196	-0.112305
-0.0518799	-0.0604248	-0.112305
-0.0506592	-0.0595093	-0.110168
-0.0512695	-0.0561523	-0.107422
-0.0512695	-0.0540161	-0.105286
-0.0491333	-0.0552368	-0.10437
-0.0463867	-0.057373	-0.10376
-0.0448608	-0.0576782	-0.102539
-0.0445557	-0.0567627	-0.101318
-0.0439453	-0.0561523	-0.100098
-0.0439453	-0.0561523	-0.100098
-0.045166	-0.0567627	-0.101929
-0.0460815	-0.0588989	-0.10498
-0.0485229	-0.06073	-0.109253
-0.0509644	-0.0634766	-0.114441
-0.0546265	-0.0653076	-0.119934
-0.0601196	-0.0650024	-0.125122
-0.0671387	-0.0650024	-0.132141
-0.0744629	-0.0665283	-0.140991
-0.0793457	-0.0695801	-0.148926
-0.0793457	-0.0738525	-0.153198
-0.0732422	-0.0793457	-0.152588
-0.0616455	-0.0854492	-0.147095
-0.0442505	-0.090332	-0.134583
-0.0228882	-0.090332	-0.11322
0.000915527	-0.0820923	-0.0811768
0.0286865	-0.0650024	-0.0363159
0.0619507	-0.0402832	0.0216675
0.0997925	-0.00946045	0.090332
0.140076	0.0265503	0.166626
0.177307	0.0671387	0.244446
0.209045	0.112915	0.32196
0.233765	0.162354	0.396118
0.248413	0.212097	0.46051
0.248413	0.257874	0.506287
0.230408	0.296936	0.527344
0.194092	0.326233	0.520325
0.141602	0.345459	0.487061
0.0744629	0.35675	0.431213
-0.00213623	0.357361	0.355225
-0.0769043	0.340881	0.263977
-0.145264	0.308228	0.162964
-0.203552	0.263672	0.0601196
-0.248413	0.210876	-0.0375366
-0.274963	0.152283	-0.122681
-0.280151	0.0897217	-0.19043
-0.265808	0.0265503	-0.239258
-0.237732	-0.0314331	-0.269165
-0.200806	-0.0805664	-0.281372
-0.160217	-0.118408	-0.278625
-0.123901	-0.140991	-0.264893
-0.0961304	-0.148926	-0.245056
-0.0744629	-0.147705	-0.222168
-0.0616455	-0.138245	-0.19989
-0.0561523	-0.121155	-0.177307
-0.0540161	-0.101929	-0.155945
-0.0549316	-0.0845337	-0.139465
-0.0576782	-0.0701904	-0.127869
-0.0604248	-0.0604248	-0.12085
-0.0616455	-0.0549316	-0.116577
-0.0598145	-0.0540161	-0.113831
-0.0564575	-0.0558472	-0.112305
-0.0561523	-0.0567627	-0.112915
-0.06073	-0.0534058	-0.114136
-0.0662231	-0.050354	-0.116577
-0.0698853	-0.0494385	-0.119324
-0.0741577	-0.0479126	-0.12207
-0.0793457	-0.0442505	-0.123596
-0.0848389	-0.0390625	-0.123901
-0.0878906	-0.0344849	-0.122375
-0.0860596	-0.0344849	-0.120544
-0.0784302	-0.0408936	-0.119324
-0.0668335	-0.0512695	-0.118103
-0.0558472	-0.0604248	-0.116272
-0.0473022	-0.0671387	-0.114441
-0.0402832	-0.072937	-0.11322
-0.0332642	-0.0787354	-0.112
-0.0283813	-0.0827026	-0.111084
